dataset,config,mean_acc_deme,mean_acc_tourn,acc_diff,W_acc,p_acc,sig_acc,mean_bd_deme,mean_bd_tourn,bd_diff,W_bd,p_bd,sig_bd
pima,demes_5_mr10_freq10,0.7538,0.7542,-0.0003,186.5,0.9519,=,0.2892,0.3083,-0.0191,199.0,0.4908,=
pima,demes_5_mr10_freq25,0.7554,0.7542,0.0012,163.0,0.7499,=,0.2392,0.3083,-0.0691,97.0,0.0053,-
pima,demes_5_mr10_freq5,0.7559,0.7542,0.0017,132.0,0.6054,=,0.2716,0.3083,-0.0367,158.0,0.1982,=
pima,demes_5_mr15_freq1,0.7535,0.7542,-0.0007,142.5,0.8298,=,0.1424,0.3083,-0.1659,12.0,0.0,-
pima,demes_5_mr15_freq10,0.758,0.7542,0.0038,95.5,0.3114,=,0.2265,0.3083,-0.0819,95.0,0.0047,-
pima,demes_5_mr15_freq25,0.7571,0.7542,0.003,135.0,0.3012,=,0.195,0.3083,-0.1133,60.0,0.0007,-
pima,demes_5_mr15_freq5,0.7528,0.7542,-0.0014,123.5,0.4473,=,0.2025,0.3083,-0.1059,64.0,0.0015,-
pima,demes_5_mr2_freq1,0.7559,0.7542,0.0017,181.5,0.8566,=,0.2664,0.3083,-0.0419,157.0,0.1241,=
pima,demes_5_mr2_freq10,0.7569,0.7542,0.0028,147.0,0.3093,=,0.3311,0.3083,0.0227,193.5,0.4224,=
pima,demes_5_mr2_freq25,0.7573,0.7542,0.0031,180.5,0.6075,=,0.3211,0.3083,0.0128,214.0,0.7035,=
pima,demes_5_mr2_freq5,0.7549,0.7542,0.0007,183.5,0.8946,=,0.3715,0.3083,0.0631,119.0,0.0196,+
pima,demes_5_mr5_freq1,0.7519,0.7542,-0.0023,147.0,0.4671,=,0.2463,0.3083,-0.0621,127.0,0.03,-
pima,demes_5_mr5_freq10,0.7566,0.7542,0.0024,168.0,0.6129,=,0.3393,0.3083,0.031,179.0,0.2801,=
pima,demes_5_mr5_freq25,0.7543,0.7542,0.0002,172.0,0.9288,=,0.2867,0.3083,-0.0216,187.5,0.3546,=
pima,demes_5_mr5_freq5,0.7543,0.7542,0.0002,160.0,0.946,=,0.2762,0.3083,-0.0321,194.0,0.4284,=
heartDisease,demes_10_mr10_freq1,0.82,0.8182,0.0018,164.5,0.7786,=,0.1585,0.2192,-0.0607,87.0,0.0028,-
heartDisease,demes_10_mr10_freq10,0.8031,0.8182,-0.0151,112.0,0.063,=,0.2415,0.2192,0.0223,170.0,0.1986,=
heartDisease,demes_10_mr10_freq25,0.8067,0.8182,-0.0116,93.5,0.0364,-,0.2471,0.2192,0.0279,156.5,0.118,=
heartDisease,demes_10_mr10_freq5,0.8138,0.8182,-0.0044,106.0,0.3283,=,0.2235,0.2192,0.0043,221.0,0.813,=
heartDisease,demes_10_mr15_freq1,0.816,0.8182,-0.0022,152.0,0.7761,=,0.1323,0.2192,-0.0869,45.5,0.0001,-
heartDisease,demes_10_mr15_freq10,0.8129,0.8182,-0.0053,149.0,0.3346,=,0.2067,0.2192,-0.0125,204.0,0.7703,=
