dataset,config,n_runs,mean_acc,std_acc,mean_bd,std_bd
pima,demes_15_mr2_freq1,30,0.7575,0.0301,0.3196,0.1148
pima,demes_15_mr2_freq10,30,0.7519,0.0294,0.3321,0.0555
pima,demes_15_mr2_freq25,30,0.7524,0.0321,0.3044,0.0392
pima,demes_15_mr2_freq5,30,0.7542,0.0283,0.3549,0.0713
pima,demes_15_mr5_freq1,30,0.7523,0.0289,0.2607,0.0943
pima,demes_15_mr5_freq10,30,0.7523,0.0321,0.2947,0.052
pima,demes_15_mr5_freq25,30,0.749,0.0285,0.2728,0.0464
pima,demes_15_mr5_freq5,30,0.7514,0.027,0.3084,0.0831
pima,demes_5_mr10_freq1,30,0.7524,0.0282,0.1862,0.0848
pima,demes_5_mr10_freq10,30,0.7538,0.0304,0.2892,0.0846
pima,demes_5_mr10_freq25,30,0.7554,0.0309,0.2392,0.0561
pima,demes_5_mr10_freq5,30,0.7559,0.0268,0.2716,0.0866
pima,demes_5_mr15_freq1,30,0.7535,0.0319,0.1424,0.088
pima,demes_5_mr15_freq10,30,0.758,0.0276,0.2265,0.0696
pima,demes_5_mr15_freq25,30,0.7571,0.0302,0.195,0.071
pima,demes_5_mr15_freq5,30,0.7528,0.0291,0.2025,0.0944
pima,demes_5_mr2_freq1,30,0.7559,0.0291,0.2664,0.121
pima,demes_5_mr2_freq10,30,0.7569,0.0288,0.3311,0.0889
pima,demes_5_mr2_freq25,30,0.7573,0.0294,0.3211,0.0726
pima,demes_5_mr2_freq5,30,0.7549,0.0257,0.3715,0.1033
pima,demes_5_mr5_freq1,30,0.7519,0.0287,0.2463,0.1243
pima,demes_5_mr5_freq10,30,0.7566,0.031,0.3393,0.0995
pima,demes_5_mr5_freq25,30,0.7543,0.0304,0.2867,0.0742
pima,demes_5_mr5_freq5,30,0.7543,0.03,0.2762,0.0929
pima,tournament,30,0.7542,0.0303,0.3083,0.1071
heartDisease,demes_10_mr10_freq1,30,0.82,0.0372,0.1585,0.097
heartDisease,demes_10_mr10_freq10,30,0.8031,0.0394,0.2415,0.0503
heartDisease,demes_10_mr10_freq25,30,0.8067,0.0428,0.2471,0.0401
heartDisease,demes_10_mr10_freq5,30,0.8138,0.0372,0.2235,0.0645
heartDisease,demes_10_mr15_freq1,30,0.816,0.0402,0.1323,0.0625
heartDisease,demes_10_mr15_freq10,30,0.8129,0.0447,0.2067,0.0517
heartDisease,demes_10_mr15_freq25,30,0.8027,0.044,0.1977,0.0395
heartDisease,demes_10_mr15_freq5,30,0.8089,0.0333,0.193,0.0539
heartDisease,demes_10_mr2_freq1,30,0.8178,0.037,0.2385,0.1075
heartDisease,demes_10_mr2_freq10,30,0.8116,0.0317,0.3197,0.07
